ShoeName,Category,Number of Colors,Price(dollor)
Air Jordan 1 Mid SE,Older Kids' Shoes,37,87.95
Jordan Winterized 6 Rings,Men's Shoes,12,154.95
Air Jordan 1 Mid SE,Men's Shoe,25,139.95
Jordan Essentials,Men's Fleece Sweatshirt,11,69.95
Jordan 1 Retro High OG,Baby/Toddler Shoes,26,52.95
Air Jordan 1 Mid SE Craft,Men's shoes,50,139.95
Air Jordan 1 Hi FlyEase,Older Kids' Shoes,25,87.95
Air Jordan 1 Mid,Men's Shoes,50,129.95
Air Jordan 5 'Navy',Men's Shoes,33,199.95
Air Jordan 1 Zoom CMFT 2,Men's Shoes,33,154.95
Air Jordan 1 Low,Older Kids' Shoes,28,69.95
Air Jordan 1 Mid,Men's Shoes,28,129.95
Air Jordan 1 Low G,Golf Shoes,25,129.95
Air Jordan 1 Hi FlyEase,Men's Shoes,25,174.95
Air Jordan 1 Mid SE,Men's Shoes,44,139.95
Jordan 1 Mid SE,Baby/Toddler Shoes,30,49.95
Air Jordan 1 Low,Men's Shoes,17,119.95
Air Jordan 1 Low SE,Older Kids' Shoes,24,74.95
Air Jordan Legacy 312 Low,Men's Shoes,42,129.95
Air Jordan 1 Low SE Craft,Men's shoes,47,129.95
Jordan x UNDEFEATED,Men's Hoodie,5,109.95
Air Jordan 1 Elevate High,Women's Shoes,29,144.95
Jumpman Two Trey,Younger Kids' Shoes,19,54.95
Jumpman Two Trey,Women's Shoes,30,139.95
Air Jordan 1 Mid,Men's Shoes,27,129.95
Jordan Essentials,Men's Fleece Sweatshirt,29,69.95
Air Jordan 1 Elevate High,Women's Shoes,17,144.99
Jordan 1 Low Alt,Younger Kids' Shoes,29,54.95
Jordan Series,Older Kids' Shoes,40,49.95
Jordan Brooklyn Fleece,Men's Shorts,17,44.95
Air Jordan 1 Low SE,Men's Shoes,34,129.95
Air Jordan 1 Mid SE,Women's Shoes,39,139.95
Jordan 1 Mid,Younger Kids' Shoe,17,64.95
Air Jordan Legacy 312,Men's Shoes,34,139.95
Jordan Max Aura 4,Older Kids' Shoes,30,64.95
Jordan Max Aura 5,Younger Kids' Shoes,33,49.95
Air Jordan 1 Low,Men's Shoes,29,119.95
Air Jordan 1 Low FlyEase,Men's Easy On/Off Shoes,37,144.95
Jordan Break,Slides,11,29.95
Jordan Point Lane,Men's Shoes,36,124.95
Air Jordan 1 Low FlyEase,Men's Easy On/Off Shoes,19,144.95
Jumpman MVP,Men's Shoes,22,154.95
Jordan Air 200E Zion PE,Men's Shoes,34,129.95
Jordan Dri-FIT Sport,Men's Air Fleece Trousers,11,82.95
Air Jordan 1 Mid,Older Kids' Shoes,28,84.95
Jordan Post,Men's Slides,29,27.95
Air Jordan 1 Mid SE,Older Kids' Shoes,30,87.95
Air Jordan 3 'Off-Noir',Women's Shoes,31,189.95
Air Jordan 4 Retro,Men's Shoes,33,189.95
Jordan Brooklyn Fleece,Men's Pullover Hoodie,17,69.95
Jumpman Two Trey,Men's Shoes,32,139.95
Jumpman Two Trey,Older Kids' Shoes,32,89.95
Jordan 1 Mid Alt,Baby/Toddler Shoes,19,49.95
Jordan 1 Mid SE,Younger Kids' Shoes,36,64.95
Jordan Brooklyn Fleece,Men's Trousers,21,64.95
Zion 3 'Gen Zion',Older Kids' Basketball Shoes,37,84.95
Air Jordan 1 Low SE,Men's Shoes,31,114.95
Jordan Stay Loyal 2,Men's Shoes,22,109.95
Air Jordan 4 Craft 'Olive',Men's Shoes,43,199.95
Jordan Flight MVP,Men's Graphic Fleece Pullover Hoodie,5,72.95
Air Jordan 1 Mid SE,Older Kids' Shoes,37,87.95
Jordan Winterized 6 Rings,Men's Shoes,12,154.95
Air Jordan 1 Mid SE,Men's Shoe,25,139.95
Jordan Essentials,Men's Fleece Sweatshirt,11,69.95
Jordan 1 Retro High OG,Baby/Toddler Shoes,26,52.95
Air Jordan 1 Mid SE Craft,Men's shoes,50,139.95
Air Jordan 1 Hi FlyEase,Older Kids' Shoes,25,87.95
Air Jordan 1 Mid,Men's Shoes,50,129.95
Air Jordan 5 'Navy',Men's Shoes,33,199.95
Air Jordan 1 Zoom CMFT 2,Men's Shoes,33,154.95
Air Jordan 1 Low,Older Kids' Shoes,28,69.95
Air Jordan 1 Mid,Men's Shoes,28,129.95
Air Jordan 1 Low G,Golf Shoes,25,129.95
Air Jordan 1 Hi FlyEase,Men's Shoes,25,174.95
Air Jordan 1 Mid SE,Men's Shoes,44,139.95
Jordan 1 Mid SE,Baby/Toddler Shoes,30,49.95
Air Jordan 1 Low,Men's Shoes,17,119.95
Air Jordan 1 Low SE,Older Kids' Shoes,24,74.95
Air Jordan Legacy 312 Low,Men's Shoes,42,129.95
Air Jordan 1 Low SE Craft,Men's shoes,47,129.95
Jordan x UNDEFEATED,Men's Hoodie,5,109.95
Air Jordan 1 Elevate High,Women's Shoes,29,144.95
Jumpman Two Trey,Younger Kids' Shoes,19,54.95
Jumpman Two Trey,Women's Shoes,30,139.95
Air Jordan 1 Mid,Men's Shoes,27,129.95
Jordan Essentials,Men's Fleece Sweatshirt,29,69.95
Air Jordan 1 Elevate High,Women's Shoes,17,144.99
Jordan 1 Low Alt,Younger Kids' Shoes,29,54.95
Jordan Series,Older Kids' Shoes,40,49.95
Jordan Brooklyn Fleece,Men's Shorts,17,44.95
Air Jordan 1 Low SE,Men's Shoes,34,129.95
Air Jordan 1 Mid SE,Women's Shoes,39,139.95
Jordan 1 Mid,Younger Kids' Shoe,17,64.95
Air Jordan Legacy 312,Men's Shoes,34,139.95
Jordan Max Aura 4,Older Kids' Shoes,30,64.95
Jordan Max Aura 5,Younger Kids' Shoes,33,49.95
Air Jordan 1 Low,Men's Shoes,29,119.95
Air Jordan 1 Low FlyEase,Men's Easy On/Off Shoes,37,144.95
Jordan Break,Slides,11,29.95
Jordan Point Lane,Men's Shoes,36,124.95
Air Jordan 1 Low FlyEase,Men's Easy On/Off Shoes,19,144.95
Jumpman MVP,Men's Shoes,22,154.95
Jordan Air 200E Zion PE,Men's Shoes,34,129.95
Jordan Dri-FIT Sport,Men's Air Fleece Trousers,11,82.95
Air Jordan 1 Mid,Older Kids' Shoes,28,84.95
Jordan Post,Men's Slides,29,27.95
Air Jordan 1 Mid SE,Older Kids' Shoes,30,87.95
Air Jordan 3 'Off-Noir',Women's Shoes,31,189.95
Air Jordan 4 Retro,Men's Shoes,33,189.95
Jordan Brooklyn Fleece,Men's Pullover Hoodie,17,69.95
Jumpman Two Trey,Men's Shoes,32,139.95
Jumpman Two Trey,Older Kids' Shoes,32,89.95
