Reviews,Size,Color 1,Color 2,Color 3,Color 4,Style Code,Product Code,Comfort,Durability/Quality/Performance,Star Rating
3,6,B,l,u,e,FQ8174-237,Air Jordan 1 Mid SE,Yes ,,3.5
4,7,B,l,a,c,FB8876-600,Jordan Winterized 6 Rings,Yes ,,4
2,10,B,l,a,c,FZ3964-252,Air Jordan 1 Mid SE,Yes ,,2
4.5,8,B,l,a,c,FZ3967-072,Jordan Essentials,Yes ,,4.5
3,9,B,l,a,c,FB8875-002,Jordan 1 Retro High OG,Yes ,,3
4,8,A,n,t,h,FB8886-001,Air Jordan 1 Mid SE Craft,Yes ,,4
5,8,W,h,i,t,FQ8174-237,Air Jordan 1 Hi FlyEase,Yes ,,5
5,7,S,k,y,c,FB8876-600,Air Jordan 1 Mid,Yes ,,5
2.2,6,M,i,d,n,FZ3964-252,Air Jordan 5 'Navy',Yes ,,2.2
0.1,9,C,e,m,e,FZ3967-072,Air Jordan 1 Zoom CMFT 2,Yes ,,0.1
3.4,9,W,h,i,t,FB8875-002,Air Jordan 1 Low,Yes ,,3.4
3.5,8,B,l,a,c,FB8886-001,Air Jordan 1 Mid,No,,3.5
4,6,W,h,i,t,FQ8174-237,Air Jordan 1 Low G,No,,4
4,7,W,h,i,t,FB8876-600,Air Jordan 1 Hi FlyEase,Yes ,,4
4,10,N,i,g,h,FZ3964-252,Air Jordan 1 Mid SE,Yes ,,4
4,8,S,a,i,l,FZ3967-072,Jordan 1 Mid SE,Yes ,,4
5,9,W,h,i,t,FB8875-002,Air Jordan 1 Low,Yes ,,5
5,8,G,e,o,d,FB8886-001,Air Jordan 1 Low SE,Yes ,,5
3,8,B,l,a,c,FQ8174-237,Air Jordan Legacy 312 Low,Yes ,,3
4,7,S,k,y, ,FB8876-600,Air Jordan 1 Low SE Craft,Yes ,,4
2,6,B,l,a,c,FZ3964-252,Jordan x UNDEFEATED,Yes ,,2
3.3,9,T,i,t,a,FZ3967-072,Air Jordan 1 Elevate High,Yes ,,3.3
0,9,W,h,i,t,FB8875-002,Jumpman Two Trey,Yes ,,0
0,8,B,l,a,c,FB8886-001,Jumpman Two Trey,Yes ,,0
5,6,U,n,i,v,FQ8174-237,Air Jordan 1 Mid,No,,5
4,7,G,y,m, ,FB8876-600,Jordan Essentials,No,,4
3,10,W,h,i,t,FZ3964-252,Air Jordan 1 Elevate High,Yes ,,3
3.1,8,W,h,i,t,FZ3967-072,Jordan 1 Low Alt,Yes ,,3.1
0,9,B,l,u,e,FB8875-002,Jordan Series,Yes ,,3.5
4,8,B,l,a,c,FB8886-001,Jordan Brooklyn Fleece,Yes ,,4
2,8,B,l,a,c,FQ8174-237,Air Jordan 1 Low SE,Yes ,,2
4.5,7,B,l,a,c,FB8876-600,Air Jordan 1 Mid SE,Yes ,,4.5
3,6,B,l,a,c,FZ3964-252,Jordan 1 Mid,Yes ,,3
4,9,A,n,t,h,FZ3967-072,Air Jordan Legacy 312,Yes ,,4
